sst,u10,hsig,time,latitude,longitude
301.7009,3.659115,1.1002525,1/1/40 12:00,-5.1,65
301.7344,2.8409002,1.0513356,1/2/40 12:00,-5.1,65
301.7705,2.7771528,1.050579,1/3/40 12:00,-5.1,65
301.80347,2.2784243,1.0511194,1/4/40 12:00,-5.1,65
301.83524,2.8476498,1.1473316,1/5/40 12:00,-5.1,65
301.866,4.5530767,1.4004563,1/6/40 12:00,-5.1,65
301.8938,0.40162972,1.4819664,1/7/40 12:00,-5.1,65
301.92065,1.8355682,1.4761288,1/8/40 12:00,-5.1,65
301.9431,0.5924965,1.3891054,1/9/40 12:00,-5.1,65
301.96338,0.5493734,1.2977037,1/10/40 12:00,-5.1,65
301.9802,1.4827083,1.1951675,1/11/40 12:00,-5.1,65
301.99268,1.001229,1.10182,1/12/40 12:00,-5.1,65
302.001,1.9030652,1.2263013,1/13/40 12:00,-5.1,65
302.00513,-1.5381621,1.3065143,1/14/40 12:00,-5.1,65
302.00415,-3.864562,1.4736965,1/15/40 12:00,-5.1,65
301.9983,-0.14359689,1.4509406,1/16/40 12:00,-5.1,65
301.98975,-0.8523165,1.4842906,1/17/40 12:00,-5.1,65
301.97757,1.7271978,1.3797544,1/18/40 12:00,-5.1,65
301.9624,1.1860961,1.2288958,1/19/40 12:00,-5.1,65
301.94604,4.032974,1.3106762,1/20/40 12:00,-5.1,65
301.92676,5.298545,1.7061733,1/21/40 12:00,-5.1,65
301.90677,2.422418,1.8915169,1/22/40 12:00,-5.1,65
301.885,4.620574,1.8929223,1/23/40 12:00,-5.1,65
301.86136,5.5070357,1.8065475,1/24/40 12:00,-5.1,65
301.83817,3.472748,1.6546619,1/25/40 12:00,-5.1,65
301.813,1.3469641,1.497101,1/26/40 12:00,-5.1,65
301.78732,-1.8107754,1.423158,1/27/40 12:00,-5.1,65
301.76224,-1.2809231,1.3979158,1/28/40 12:00,-5.1,65
301.7371,-0.6633246,1.0980904,1/29/40 12:00,-5.1,65
301.71216,-1.2168008,1.0315527,1/30/40 12:00,-5.1,65
301.688,-0.49345687,1.1118736,1/31/40 12:00,-5.1,65
301.66458,-0.48183236,1.1113331,2/1/40 12:00,-5.1,65
301.64212,-2.6574888,1.1325214,2/2/40 12:00,-5.1,65
301.6216,0.59137154,1.073605,2/3/40 12:00,-5.1,65
301.6018,2.4490418,1.1579798,2/4/40 12:00,-5.1,65
301.58475,3.2462578,1.0859288,2/5/40 12:00,-5.1,65
301.57034,5.3469176,1.0366335,2/6/40 12:00,-5.1,65
301.55692,4.1338444,0.96728504,2/7/40 12:00,-5.1,65
301.5464,3.89423,1.1875461,2/8/40 12:00,-5.1,65
301.53955,4.0520983,1.2525165,2/9/40 12:00,-5.1,65
301.53513,4.8864374,1.5048304,2/10/40 12:00,-5.1,65
301.53445,1.954063,1.333378,2/11/40 12:00,-5.1,65
301.53708,-1.8448988,1.2733264,2/12/40 12:00,-5.1,65
301.54272,-0.9378128,1.2415439,2/13/40 12:00,-5.1,65
301.55322,1.4733337,1.1892217,2/14/40 12:00,-5.1,65
301.5684,5.0304313,1.2195989,2/15/40 12:00,-5.1,65
301.58694,5.2134233,1.3155409,2/16/40 12:00,-5.1,65
301.60767,6.193631,1.2699212,2/17/40 12:00,-5.1,65
301.63138,4.373834,1.3024063,2/18/40 12:00,-5.1,65
301.6575,3.6898637,1.2495977,2/19/40 12:00,-5.1,65
301.68558,2.0703082,1.1566826,2/20/40 12:00,-5.1,65
301.71555,4.3614597,1.2180854,2/21/40 12:00,-5.1,65
301.7473,5.17405,1.4062939,2/22/40 12:00,-5.1,65
301.78125,3.3025053,1.7093623,2/23/40 12:00,-5.1,65
301.81616,4.097471,1.5711519,2/24/40 12:00,-5.1,65
301.85278,1.8843161,1.3675387,2/25/40 12:00,-5.1,65
301.8914,6.5164924,1.4652103,2/26/40 12:00,-5.1,65
301.93094,5.4402885,1.467048,2/27/40 12:00,-5.1,65
301.9702,4.3704596,1.3669982,2/28/40 12:00,-5.1,65
301.9878,1.8415679,1.1812762,2/29/40 12:00,-5.1,65
302.02982,-2.1163871,1.2481383,3/1/40 12:00,-5.1,65
302.0706,-3.8728118,1.4516433,3/2/40 12:00,-5.1,65
302.1128,-3.3620837,1.2842989,3/3/40 12:00,-5.1,65
302.15454,-1.6911556,1.3324051,3/4/40 12:00,-5.1,65
302.19583,-2.7609844,1.4865608,3/5/40 12:00,-5.1,65
302.2366,-1.8385242,1.3747816,3/6/40 12:00,-5.1,65
302.27835,2.4647913,1.3387831,3/7/40 12:00,-5.1,65
302.31857,3.9714766,1.5552065,3/8/40 12:00,-5.1,65
302.3589,5.083304,1.7243888,3/9/40 12:00,-5.1,65
302.3975,6.1388836,1.9733514,3/10/40 12:00,-5.1,65
302.43457,6.3687487,1.8149796,3/11/40 12:00,-5.1,65
302.47122,4.9108114,1.6340141,3/12/40 12:00,-5.1,65
302.50583,5.798398,1.5309373,3/13/40 12:00,-5.1,65
302.5393,3.4851224,1.4547783,3/14/40 12:00,-5.1,65
302.57056,4.0355988,1.4634266,3/15/40 12:00,-5.1,65
302.59982,3.7187374,1.4973171,3/16/40 12:00,-5.1,65
