sst,u10,hsig,time,latitude,longitude
286.9707,0.61297774,4.136298,1/1/40 12:00,34.9,-165
286.97836,2.574189,2.7596622,1/2/40 12:00,34.9,-165
287.0163,2.6231503,1.8730869,1/3/40 12:00,34.9,-165
287.0268,-1.8688784,1.7537475,1/4/40 12:00,34.9,-165
287.03183,3.4127378,2.6928706,1/5/40 12:00,34.9,-165
287.03348,0.48678184,2.765244,1/6/40 12:00,34.9,-165
287.03015,-13.856127,3.3736818,1/7/40 12:00,34.9,-165
287.0213,-12.385908,4.902379,1/8/40 12:00,34.9,-165
287.0058,-9.612352,4.8024807,1/9/40 12:00,34.9,-165
286.98288,-7.507705,3.1517494,1/10/40 12:00,34.9,-165
286.95282,-8.873795,2.5487008,1/11/40 12:00,34.9,-165
286.91486,-5.525806,2.399527,1/12/40 12:00,34.9,-165
286.8676,10.413517,3.2487605,1/13/40 12:00,34.9,-165
286.81033,8.85572,4.3324385,1/14/40 12:00,34.9,-165
286.7435,7.5089383,4.3149223,1/15/40 12:00,34.9,-165
286.66687,3.7347791,2.9248123,1/16/40 12:00,34.9,-165
286.596,7.7847767,3.0093122,1/17/40 12:00,34.9,-165
286.53394,14.6779785,6.310005,1/18/40 12:00,34.9,-165
286.48047,14.085615,6.7790856,1/19/40 12:00,34.9,-165
286.43466,12.207846,4.7445436,1/20/40 12:00,34.9,-165
286.39502,10.094923,4.8086405,1/21/40 12:00,34.9,-165
286.36377,9.152935,4.0052176,1/22/40 12:00,34.9,-165
286.33847,15.686857,5.2282524,1/23/40 12:00,34.9,-165
286.31888,13.800123,4.7911243,1/24/40 12:00,34.9,-165
286.30432,5.2043085,4.9146986,1/25/40 12:00,34.9,-165
286.2948,17.772886,6.815465,1/26/40 12:00,34.9,-165
286.2893,13.817364,6.53598,1/27/40 12:00,34.9,-165
286.28763,13.388433,4.654654,1/28/40 12:00,34.9,-165
286.28955,10.193536,4.473528,1/29/40 12:00,34.9,-165
286.2943,7.906835,3.845842,1/30/40 12:00,34.9,-165
286.30124,10.388691,4.151697,1/31/40 12:00,34.9,-165
286.30957,9.728058,4.1466923,2/1/40 12:00,34.9,-165
286.3196,9.457737,4.0508356,2/2/40 12:00,34.9,-165
286.32986,10.216292,4.8184566,2/3/40 12:00,34.9,-165
286.34036,10.816931,4.762252,2/4/40 12:00,34.9,-165
286.3511,7.7006464,3.023363,2/5/40 12:00,34.9,-165
286.36017,8.715042,4.75436,2/6/40 12:00,34.9,-165
286.3683,10.98795,4.885248,2/7/40 12:00,34.9,-165
286.37497,10.412138,5.7075343,2/8/40 12:00,34.9,-165
286.37857,2.7396922,3.4962933,2/9/40 12:00,34.9,-165
286.38,9.55428,3.510922,2/10/40 12:00,34.9,-165
286.3769,8.110266,3.6870437,2/11/40 12:00,34.9,-165
286.3714,4.58712,4.0933743,2/12/40 12:00,34.9,-165
286.3604,2.3976524,3.0306778,2/13/40 12:00,34.9,-165
286.3449,4.234047,2.3042479,2/14/40 12:00,34.9,-165
286.32367,10.786589,3.00527,2/15/40 12:00,34.9,-165
286.3005,1.4384243,2.2060819,2/16/40 12:00,34.9,-165
286.2802,6.814515,2.595667,2/17/40 12:00,34.9,-165
286.2609,1.4370451,3.2593472,2/18/40 12:00,34.9,-165
286.24442,3.3575702,3.5800233,2/19/40 12:00,34.9,-165
286.2296,0.2847302,4.59152,2/20/40 12:00,34.9,-165
286.21603,10.549368,7.0485616,2/21/40 12:00,34.9,-165
286.20505,7.4385996,5.320067,2/22/40 12:00,34.9,-165
286.19623,7.31792,3.082263,2/23/40 12:00,34.9,-165
286.18857,9.468771,3.8908827,2/24/40 12:00,34.9,-165
286.18262,11.746506,3.8856857,2/25/40 12:00,34.9,-165
286.1783,14.313871,4.689493,2/26/40 12:00,34.9,-165
286.1752,13.302235,4.733187,2/27/40 12:00,34.9,-165
286.17496,10.336971,4.5826654,2/28/40 12:00,34.9,-165
286.1807,15.919252,6.1737275,2/29/40 12:00,34.9,-165
286.18262,2.1549146,5.2132387,3/1/40 12:00,34.9,-165
286.185,12.9002,6.019164,3/2/40 12:00,34.9,-165
286.19025,11.769262,4.6927657,3/3/40 12:00,34.9,-165
286.19693,12.257496,4.8975673,3/4/40 12:00,34.9,-165
286.20505,5.585655,2.694603,3/5/40 12:00,34.9,-165
286.2141,2.8948512,1.8615379,3/6/40 12:00,34.9,-165
286.22485,-0.22143364,1.5666542,3/7/40 12:00,34.9,-165
286.23703,-4.30798,1.4249868,3/8/40 12:00,34.9,-165
286.2504,0.20059943,1.4128604,3/9/40 12:00,34.9,-165
286.2659,-2.229537,1.4667559,3/10/40 12:00,34.9,-165
286.28238,-6.712601,2.4871063,3/11/40 12:00,34.9,-165
286.3005,-11.478399,4.299716,3/12/40 12:00,34.9,-165
286.3196,-6.952581,3.316322,3/13/40 12:00,34.9,-165
286.34015,-4.8962054,2.407034,3/14/40 12:00,34.9,-165
286.3621,-2.4012465,2.3997192,3/15/40 12:00,34.9,-165
286.38525,-0.37038612,2.9198074,3/16/40 12:00,34.9,-165
286.40887,8.219912,2.8547482,3/17/40 12:00,34.9,-165
286.42606,6.734522,3.4366236,3/18/40 12:00,34.9,-165
286.4375,4.2568035,2.1007938,3/19/40 12:00,34.9,-165
286.44156,1.314297,2.4884539,3/20/40 12:00,34.9,-165
286.44037,6.084233,2.5005803,3/21/40 12:00,34.9,-165
286.43512,7.9254546,2.788342,3/22/40 12:00,34.9,-165
286.42462,14.469721,3.8995445,3/23/40 12:00,34.9,-165
286.41006,12.223017,4.1988554,3/24/40 12:00,34.9,-165
286.39215,11.845808,4.50086,3/25/40 12:00,34.9,-165
286.3709,6.173191,5.154917,3/26/40 12:00,34.9,-165
286.34872,12.555403,4.305298,3/27/40 12:00,34.9,-165
286.32416,13.740818,4.456397,3/28/40 12:00,34.9,-165
286.29694,6.1104374,3.071484,3/29/40 12:00,34.9,-165
286.27045,4.0754395,2.9157653,3/30/40 12:00,34.9,-165
286.2437,11.383089,3.7176485,3/31/40 12:00,34.9,-165
286.2165,10.474892,4.2822,4/1/40 12:00,34.9,-165
286.19025,4.4505796,3.11537,4/2/40 12:00,34.9,-165
286.16687,11.29551,3.6133227,4/3/40 12:00,34.9,-165
286.14322,11.847877,5.0786934,4/4/40 12:00,34.9,-165
286.12247,9.095699,5.2143936,4/5/40 12:00,34.9,-165
286.1053,11.607897,3.5896473,4/6/40 12:00,34.9,-165
286.09094,12.741592,5.312175,4/7/40 12:00,34.9,-165
286.08044,12.382313,4.600759,4/8/40 12:00,34.9,-165
286.07474,14.291115,6.6445403,4/9/40 12:00,34.9,-165
286.07306,12.385761,5.11719,4/10/40 12:00,34.9,-165
