sst,u10,hsig,time,latitude,longitude
295.14398,-2.8581448,1.8809454,1/1/40 12:00,-30.1,-16.1
295.1982,-10.06532,2.3578491,1/2/40 12:00,-30.1,-16.1
295.24457,-4.1873775,1.9753065,1/3/40 12:00,-30.1,-16.1
295.2969,5.083636,1.4383652,1/4/40 12:00,-30.1,-16.1
295.34857,-4.0429916,1.3798001,1/5/40 12:00,-30.1,-16.1
295.39938,-3.6379395,1.5961626,1/6/40 12:00,-30.1,-16.1
295.45035,3.296997,2.032286,1/7/40 12:00,-30.1,-16.1
295.50168,3.320694,2.0138214,1/8/40 12:00,-30.1,-16.1
295.5513,-2.8917613,1.8750548,1/9/40 12:00,-30.1,-16.1
295.60107,-5.40033,1.9510648,1/10/40 12:00,-30.1,-16.1
295.65085,-5.1920176,1.9749668,1/11/40 12:00,-30.1,-16.1
295.69995,-1.9907265,1.750788,1/12/40 12:00,-30.1,-16.1
295.75006,-2.0370183,1.6998127,1/13/40 12:00,-30.1,-16.1
295.7978,-1.7289581,1.4756339,1/14/40 12:00,-30.1,-16.1
295.84552,-1.9527012,1.3275785,1/15/40 12:00,-30.1,-16.1
295.89307,-3.5977097,1.2969933,1/16/40 12:00,-30.1,-16.1
295.9377,-3.7856317,1.2258542,1/17/40 12:00,-30.1,-16.1
295.98065,0.38998902,1.320442,1/18/40 12:00,-30.1,-16.1
296.02,-0.3556379,1.5634248,1/19/40 12:00,-30.1,-16.1
296.0578,-1.397201,1.6964142,1/20/40 12:00,-30.1,-16.1
296.09305,-2.124642,1.7130661,1/21/40 12:00,-30.1,-16.1
296.1264,4.6245766,1.565124,1/22/40 12:00,-30.1,-16.1
296.1582,5.4567246,1.4478805,1/23/40 12:00,-30.1,-16.1
296.1878,4.6962185,1.307528,1/24/40 12:00,-30.1,-16.1
296.215,5.5333266,1.1319461,1/25/40 12:00,-30.1,-16.1
296.24118,3.434219,1.4624934,1/26/40 12:00,-30.1,-16.1
296.2658,-0.5964649,1.524457,1/27/40 12:00,-30.1,-16.1
296.2901,-2.4541945,1.5100706,1/28/40 12:00,-30.1,-16.1
296.31097,2.5282245,1.4452751,1/29/40 12:00,-30.1,-16.1
296.33218,4.3060455,1.4587553,1/30/40 12:00,-30.1,-16.1
296.35236,3.8734388,1.6210837,1/31/40 12:00,-30.1,-16.1
296.37067,7.835787,1.7392335,2/1/40 12:00,-30.1,-16.1
296.38898,1.8084987,1.7987049,2/2/40 12:00,-30.1,-16.1
296.40643,-3.0433116,2.066043,2/3/40 12:00,-30.1,-16.1
296.423,-0.011205673,1.975873,2/4/40 12:00,-30.1,-16.1
296.43927,-2.8201194,2.2071884,2/5/40 12:00,-30.1,-16.1
296.45587,-4.4210405,1.9487994,2/6/40 12:00,-30.1,-16.1
296.47125,-2.1670759,1.83654,2/7/40 12:00,-30.1,-16.1
296.48752,2.7238617,1.5885727,2/8/40 12:00,-30.1,-16.1
296.5029,0.33157325,1.4532046,2/9/40 12:00,-30.1,-16.1
296.51984,4.7584915,1.6009202,2/10/40 12:00,-30.1,-16.1
296.53592,6.2502966,1.9630725,2/11/40 12:00,-30.1,-16.1
296.55353,1.9677643,1.6892776,2/12/40 12:00,-30.1,-16.1
296.57047,-0.48404223,1.6684344,2/13/40 12:00,-30.1,-16.1
296.58844,-3.0152059,1.7054765,2/14/40 12:00,-30.1,-16.1
296.6081,-2.3577535,1.4201272,2/15/40 12:00,-30.1,-16.1
296.62384,2.1441135,1.2278931,2/16/40 12:00,-30.1,-16.1
296.6336,6.5848093,1.7775218,2/17/40 12:00,-30.1,-16.1
296.6365,8.341689,2.5733054,2/18/40 12:00,-30.1,-16.1
296.6336,0.37180305,2.4579875,2/19/40 12:00,-30.1,-16.1
296.62503,-5.1242332,2.448019,2/20/40 12:00,-30.1,-16.1
296.61154,-6.09691,2.0419145,2/21/40 12:00,-30.1,-16.1
296.59305,-3.9873314,1.6255016,2/22/40 12:00,-30.1,-16.1
296.57013,0.3227558,1.5961626,2/23/40 12:00,-30.1,-16.1
296.54276,2.6075816,2.073406,2/24/40 12:00,-30.1,-16.1
296.51163,-0.29612,2.4436011,2/25/40 12:00,-30.1,-16.1
296.47775,2.6907964,1.9432487,2/26/40 12:00,-30.1,-16.1
296.44012,3.1691437,2.0527892,2/27/40 12:00,-30.1,-16.1
296.3996,-2.9066408,2.5200644,2/28/40 12:00,-30.1,-16.1
296.36417,-2.757295,2.1870246,2/29/40 12:00,-30.1,-16.1
296.32156,-7.4305515,2.5743248,3/1/40 12:00,-30.1,-16.1
296.27692,-8.081942,2.4229844,3/2/40 12:00,-30.1,-16.1
296.23126,-7.0458894,2.1482832,3/3/40 12:00,-30.1,-16.1
296.18457,-4.90049,2.296112,3/4/40 12:00,-30.1,-16.1
296.13785,-1.3624822,2.0282078,3/5/40 12:00,-30.1,-16.1
296.09082,-5.140766,2.049391,3/6/40 12:00,-30.1,-16.1
296.04413,-4.8977346,1.9273896,3/7/40 12:00,-30.1,-16.1
295.99863,-9.567134,2.4194727,3/8/40 12:00,-30.1,-16.1
295.95328,-4.423245,1.8770938,3/9/40 12:00,-30.1,-16.1
