sst,u10,hsig,time,latitude,longitude
291.749,1.479218,2.0390365,1/1/40 12:00,-35,-165
291.80466,0.6361107,1.5672934,1/2/40 12:00,-35,-165
291.85544,3.8946588,1.2140565,1/3/40 12:00,-35,-165
291.90817,3.9910696,2.4372334,1/4/40 12:00,-35,-165
291.95996,2.7060263,2.6785405,1/5/40 12:00,-35,-165
292.01074,-5.02429,2.328122,1/6/40 12:00,-35,-165
292.06137,-8.06284,2.4208598,1/7/40 12:00,-35,-165
292.1104,-2.4872036,1.9358301,1/8/40 12:00,-35,-165
292.15732,1.8583899,1.5432701,1/9/40 12:00,-35,-165
292.20306,3.6332502,1.5601804,1/10/40 12:00,-35,-165
292.24704,-1.6233908,1.4775081,1/11/40 12:00,-35,-165
292.29004,-6.297686,1.4239588,1/12/40 12:00,-35,-165
292.3317,-6.831503,1.6370819,1/13/40 12:00,-35,-165
292.36966,-3.4616623,1.6270163,1/14/40 12:00,-35,-165
292.40604,-3.8576574,1.5862169,1/15/40 12:00,-35,-165
292.44186,-1.7709184,1.5192468,1/16/40 12:00,-35,-165
292.47827,2.4899116,1.8536944,1/17/40 12:00,-35,-165
292.51874,-2.1927955,2.1014435,1/18/40 12:00,-35,-165
292.56155,-0.45934635,1.8146398,1/19/40 12:00,-35,-165
292.6077,3.911482,1.5953431,1/20/40 12:00,-35,-165
292.65497,-4.9725256,1.6989522,1/21/40 12:00,-35,-165
292.70462,-0.4321702,2.0477602,1/22/40 12:00,-35,-165
292.7556,0.88846064,1.613327,1/23/40 12:00,-35,-165
292.80795,1.8486841,1.4134905,1/24/40 12:00,-35,-165
292.86108,-1.3975701,1.4969683,1/25/40 12:00,-35,-165
292.9148,-2.6159668,1.9214699,1/26/40 12:00,-35,-165
292.9693,-4.747999,1.7804167,1/27/40 12:00,-35,-165
293.023,-2.5253797,1.5695751,1/28/40 12:00,-35,-165
293.07712,1.3860427,1.4414058,1/29/40 12:00,-35,-165
293.13065,-2.1759722,2.4591093,1/30/40 12:00,-35,-165
