sst,u10,hsig,time,latitude,longitude
272.10916,4.541269,1.4525805,1/1/40 12:00,-65.1,-170.1
272.11035,-3.9562492,1.1554713,1/2/40 12:00,-65.1,-170.1
272.11185,-3.605822,2.0972443,1/3/40 12:00,-65.1,-170.1
272.1123,2.5537114,2.6462097,1/4/40 12:00,-65.1,-170.1
272.1133,2.636921,1.7287326,1/5/40 12:00,-65.1,-170.1
272.1145,-1.0114444,1.3947167,1/6/40 12:00,-65.1,-170.1
272.11496,-9.481903,2.1478753,1/7/40 12:00,-65.1,-170.1
272.11646,-7.8380075,2.8941715,1/8/40 12:00,-65.1,-170.1
272.1177,2.5848303,2.0238013,1/9/40 12:00,-65.1,-170.1
272.11816,-2.23388,1.4596281,1/10/40 12:00,-65.1,-170.1
272.11966,-7.6167912,1.8537335,1/11/40 12:00,-65.1,-170.1
272.11966,-0.9471768,2.760825,1/12/40 12:00,-65.1,-170.1
272.12085,8.912136,2.342424,1/13/40 12:00,-65.1,-170.1
272.1216,12.798629,3.798481,1/14/40 12:00,-65.1,-170.1
272.12186,-2.137817,2.235969,1/15/40 12:00,-65.1,-170.1
272.1223,-3.7485638,1.7960548,1/16/40 12:00,-65.1,-170.1
272.1238,-3.238483,2.1729126,1/17/40 12:00,-65.1,-170.1
272.1465,6.1858406,2.2237287,1/18/40 12:00,-65.1,-170.1
272.16922,6.5274734,2.3255472,1/19/40 12:00,-65.1,-170.1
272.19168,-0.2442931,2.7491407,1/20/40 12:00,-65.1,-170.1
272.2212,0.27864146,2.6052227,1/21/40 12:00,-65.1,-170.1
272.2405,4.7354245,2.4377513,1/22/40 12:00,-65.1,-170.1
272.26172,7.3230376,2.2875276,1/23/40 12:00,-65.1,-170.1
272.28177,3.8498855,1.3713484,1/24/40 12:00,-65.1,-170.1
272.30228,-1.3564595,1.6521368,1/25/40 12:00,-65.1,-170.1
272.323,-10.349853,2.1549225,1/26/40 12:00,-65.1,-170.1
272.344,-9.398017,2.7943933,1/27/40 12:00,-65.1,-170.1
272.36472,3.1172361,2.9001064,1/28/40 12:00,-65.1,-170.1
272.38602,-7.1094165,2.8709888,1/29/40 12:00,-65.1,-170.1
272.40674,3.9080648,3.1695817,1/30/40 12:00,-65.1,-170.1
272.42725,4.3335834,2.4635305,1/31/40 12:00,-65.1,-170.1
272.01196,10.3666115,2.4310746,2/1/40 12:00,-65.1,-170.1
272.02512,1.3400701,2.4136415,2/2/40 12:00,-65.1,-170.1
272.03732,1.1154721,1.8559589,2/3/40 12:00,-65.1,-170.1
272.04984,10.534383,2.5041466,2/4/40 12:00,-65.1,-170.1
272.06253,7.149177,2.569058,2/5/40 12:00,-65.1,-170.1
272.07498,7.725555,2.40307,2/6/40 12:00,-65.1,-170.1
272.0864,3.9851856,3.4650216,2/7/40 12:00,-65.1,-170.1
272.09894,10.12916,3.3543012,2/8/40 12:00,-65.1,-170.1
272.1106,3.6462593,2.268796,2/9/40 12:00,-65.1,-170.1
272.12186,-6.03987,2.0373402,2/10/40 12:00,-65.1,-170.1
272.1335,-6.25635,1.5881529,2/11/40 12:00,-65.1,-170.1
272.1433,-3.4941998,2.1738396,2/12/40 12:00,-65.1,-170.1
272.15433,-6.8306985,2.1246924,2/13/40 12:00,-65.1,-170.1
272.16458,5.676436,2.6254382,2/14/40 12:00,-65.1,-170.1
273.8047,3.532607,2.0353003,2/15/40 12:00,-65.1,-170.1
273.80322,-7.0992694,2.0983572,2/16/40 12:00,-65.1,-170.1
273.80228,-2.3915048,2.3440933,2/17/40 12:00,-65.1,-170.1
273.80032,-1.6588551,2.3071866,2/18/40 12:00,-65.1,-170.1
273.79837,0.18257844,2.5577445,2/19/40 12:00,-65.1,-170.1
273.79642,-3.7059445,3.2148342,2/20/40 12:00,-65.1,-170.1
273.79422,6.29611,2.6436133,2/21/40 12:00,-65.1,-170.1
273.79156,3.0191436,2.1118956,2/22/40 12:00,-65.1,-170.1
273.78928,12.588238,3.5052667,2/23/40 12:00,-65.1,-170.1
273.78592,-10.102254,2.6821892,2/24/40 12:00,-65.1,-170.1
273.782,-3.1938338,5.8224206,2/25/40 12:00,-65.1,-170.1
273.77808,-0.68807733,3.248588,2/26/40 12:00,-65.1,-170.1
273.77347,-3.1153598,2.5219507,2/27/40 12:00,-65.1,-170.1
273.76807,-0.40665329,3.059603,2/28/40 12:00,-65.1,-170.1
273.77026,8.834338,3.1701381,2/29/40 12:00,-65.1,-170.1
273.7654,9.466189,3.218358,3/1/40 12:00,-65.1,-170.1
273.7585,4.3423777,3.49859,3/2/40 12:00,-65.1,-170.1
